Labour Force Population	MDAs Revenue	Number of Records	Othregna	Tax type	Tax value	Population density	Population	Regname	Total Employed	Total Unemployed	Total tax	Total	Km^2	Literacy Rate (In%)
4022761.244	3080858639	1	North West	Other Taxes	536802631.2	467.0055139	9401288	Kano	2765631.259	1257129.985	4159926681	7240785320	20131	48.9
1799855.083	97455745	1	North West	Other Taxes	75374520	239.8141534	5801584	Katsina	1542017.875	257837.2082	1705020662	1802476407	24192	21.7
1556976.408	224949073.2	1	North West	Other Taxes	70253381.52	88.49296196	3256541	Kebbi	1243932.758	313043.6493	979871750	1204820823	36800	25.3
2463101.668	485148996.4	1	North Central	Other Taxes	573430518.7	111.0864814	3314043	Kogi	1977449.079	485652.5884	5413880789	5899029785	29833	33.5
1612475.845	5921421121	1	North Central	Other Taxes	57065335.14	64.23226069	2365353	Kwara	1271808.452	340667.3924	1989002479	7910423599	36825	49.3
7478255.625	9085614655	1	South West	Other Taxes	16294929287	2724.54559	9113605	Lagos	6389903.64	1088351.985	82847403074	91933017729	3345	92
1366207.329	1459932264	1	North Central	Other Taxes	63807814.36	68.93745621	1869377	Nasarawa	991996.2149	374211.1136	1546931968	3006864232	27117	41.9
1917789.534	119875549.6	1	North Central	Other Taxes	769888412.7	51.78911253	3954772	Niger	1517904.995	399884.5383	2020167699	2140043248	76363	37.5
3116782.024	5656348798	1	South West	Other Taxes	10459700805	223.7883307	3751140	Ogun	2605505.369	511276.6551	17630145501	23286494299	16762	62.8
2502481.879	1171772395	1	South West	Other Taxes	1593710196	223.2823871	3460877	Ondo	2146218.797	356263.0813	4362944621	5534717017	15500	66.3
2466518.617	2347884105	1	South West	Other Taxes	84968027.8	369.3610421	3416959	Osun	2218203.01	248315.6074	1605789080	3953673185	9251	80
4032123.495	1079049014	1	South West	Other Taxes	610935368.3	196.1374148	5580894	Oyo	3615293.179	416830.3156	4864619529	5943668543	28454	62.9
2084700.311	733577992.9	1	North Central	Other Taxes	753121772.8	103.7275903	3206531	Plateau	1463885.329	620814.9812	2636724187	3370302180	30913	46.6
4601135.39	1314112363	1	South South	Other Taxes	5360229876	469.3152478	5198605	Rivers	2927144.417	1673990.973	29737420315	31051532678	11077	72.8
1672919.586	513150438	1	North West	Other Taxes	339786597.3	142.5586571	3702676	Sokoto	1237217.781	435701.805	1765704349	2278854787	25973	30.1
2207684.201	748276538.4	1	North East	Other Taxes	13212292.2	42.12729242	2294800	Taraba	1788779.5	418904.7009	701711972.5	1449988511	54473	23.3
1113650.258	233341832.4	1	North East	Other Taxes	146313880.2	51.01619709	2321339	Yobe	791184.3512	322465.9073	903633369.2	1136975202	45502	26.6
1427042.24	411905947	1	North West	Other Taxes	512848695.7	82.46247674	3278873	Zamfara	1170525.161	256517.0789	2970991737	3382897684	39762	33.9
2023767.765	757124570.4	1	South East	Paye	1038978793	450.2183544	2845380	Abia	1384053.764	639714.0009	1938684724	2695809295	6320	72.5
1588278.284	517822259.9	1	North East	Paye	976560230.8	86.11073489	3178950	Adamawa	1257232.151	331046.1333	1284089665	1801911925	36917	40.5
3599981.393	1654609843	1	South South	Paye	3418354546	551.0593137	3902051	Akwa Ibom	2242227.699	1357753.694	4495943667	6150553510	7081	70.7
3251914.782	1163283103	1	South East	Paye	6059894036	862.4748142	4177828	Anambra	2683681.973	568232.8083	7007809655	8171092757	4844	75.1
2122724.499	42321266.71	1	North East	Paye	1600752229	101.5133189	4653066	Bauchi	1624123.445	498601.0531	1705935988	1748257254	45837	34.1
1362013.642	36985521.64	1	South South	Paye	2243347904	158.2210155	1704515	Bayelsa	918576.3358	443437.3067	2457898482	2494884003	10773	62
2777485.249	958237799	1	North Central	Paye	1359344219	124.8903667	4253641	Benue	2218229.987	559255.2622	1841347381	2799585180	34059	45.1
2468889.844	590256865.3	1	North East	Paye	900484399	58.83246354	4171104	Borno	1693826.943	775062.9016	1532985974	2123242839	70898	14.5
1936997.976	627378702.6	1	South South	Paye	1313473574	143.529867	2892988	Cross River	1343610.574	593387.4021	2256976853	2884355555	20156	62.3
3120369.51	1259805788	1	South South	Paye	9452496088	232.3677817	4112445	Delta	2329084.999	791284.5103	11859538241	13119344029	17698	65.7
1528582.172	164312741.2	1	South East	Paye	1070678656	383.9412698	2176947	Ebonyi	1205683.617	322898.5552	1560227648	1724540389	5670	53
2095235.333	2305913904	1	South South	Paye	3131907685	181.6293675	3233366	Edo	1569481.293	525754.0392	4517276784	6823190689	17802	45.8
1770459.249	238373509.2	1	South West	Paye	816183597.1	377.6101055	2398957	Ekiti	1412959.576	357499.6725	3012540058	3250913567	6353	74.7
2467331.567	1431402776	1	South East	Paye	2082253568	456.3380813	3267837	Enugu	2006869.132	460462.4351	2753268747	4184671523	7161	66.5
1736234.752	0	1	North Central	Paye	14992874352	192.0985646	1405201	FCT Abuja	1312485.278	423749.4741	17151971894	17151971894	7315	61.4
995947.1922	60109483.27	1	North East	Paye	795582543	126.0144928	2365040	Gombe	727056.5354	268890.6567	2092708093	2152817576	18768	39.3
3123271.134	289213783.9	1	South East	Paye	1613423399	710.2283906	3927563	Imo	2242920.268	880350.8665	2267344038	2556557822	5530	53.2
1553869.891	540625083.8	1	North West	Paye	1406979784	188.3476721	4361002	Jigawa	1141942.717	411927.1732	3148262380	3688887463	23154	24.2
3504776.637	2139401074	1	North West	Paye	2930453547	132.7492889	6113503	Kaduna	2564296.158	940480.4783	3607184993	5746586067	46053	29.3
4022761.244	3080858639	1	North West	Paye	3424448579	467.0055139	9401288	Kano	2765631.259	1257129.985	4159926681	7240785320	20131	48.9
1799855.083	97455745	1	North West	Paye	1556423705	239.8141534	5801584	Katsina	1542017.875	257837.2082	1705020662	1802476407	24192	21.7
1556976.408	224949073.2	1	North West	Paye	793821573.1	88.49296196	3256541	Kebbi	1243932.758	313043.6493	979871750	1204820823	36800	25.3
2463101.668	485148996.4	1	North Central	Paye	4714948045	111.0864814	3314043	Kogi	1977449.079	485652.5884	5413880789	5899029785	29833	33.5
1612475.845	5921421121	1	North Central	Paye	1538875877	64.23226069	2365353	Kwara	1271808.452	340667.3924	1989002479	7910423599	36825	49.3
7478255.625	9085614655	1	South West	Paye	60351831908	2724.54559	9113605	Lagos	6389903.64	1088351.985	82847403074	91933017729	3345	92
1366207.329	1459932264	1	North Central	Paye	1417735201	68.93745621	1869377	Nasarawa	991996.2149	374211.1136	1546931968	3006864232	27117	41.9
1917789.534	119875549.6	1	North Central	Paye	1126360185	51.78911253	3954772	Niger	1517904.995	399884.5383	2020167699	2140043248	76363	37.5
3116782.024	5656348798	1	South West	Paye	6183290336	223.7883307	3751140	Ogun	2605505.369	511276.6551	17630145501	23286494299	16762	62.8
2502481.879	1171772395	1	South West	Paye	2430525488	223.2823871	3460877	Ondo	2146218.797	356263.0813	4362944621	5534717017	15500	66.3
2466518.617	2347884105	1	South West	Paye	1289597694	369.3610421	3416959	Osun	2218203.01	248315.6074	1605789080	3953673185	9251	80
4032123.495	1079049014	1	South West	Paye	144347347.2	196.1374148	5580894	Oyo	3615293.179	416830.3156	4864619529	5943668543	28454	62.9
2084700.311	733577992.9	1	North Central	Paye	1752866751	103.7275903	3206531	Plateau	1463885.329	620814.9812	2636724187	3370302180	30913	46.6
4601135.39	1314112363	1	South South	Paye	22534835320	469.3152478	5198605	Rivers	2927144.417	1673990.973	29737420315	31051532678	11077	72.8
1672919.586	513150438	1	North West	Paye	1389668595	142.5586571	3702676	Sokoto	1237217.781	435701.805	1765704349	2278854787	25973	30.1
2207684.201	748276538.4	1	North East	Paye	608967058.2	42.12729242	2294800	Taraba	1788779.5	418904.7009	701711972.5	1449988511	54473	23.3
1113650.258	233341832.4	1	North East	Paye	738606243	51.01619709	2321339	Yobe	791184.3512	322465.9073	903633369.2	1136975202	45502	26.6
1427042.24	411905947	1	North West	Paye	1205792507	82.46247674	3278873	Zamfara	1170525.161	256517.0789	2970991737	3382897684	39762	33.9
2023767.765	757124570.4	1	South East	Road Tax	160341626.7	450.2183544	2845380	Abia	1384053.764	639714.0009	1938684724	2695809295	6320	72.5
1588278.284	517822259.9	1	North East	Road Tax	30903850	86.11073489	3178950	Adamawa	1257232.151	331046.1333	1284089665	1801911925	36917	40.5
3599981.393	1654609843	1	South South	Road Tax	93859405	551.0593137	3902051	Akwa Ibom	2242227.699	1357753.694	4495943667	6150553510	7081	70.7
3251914.782	1163283103	1	South East	Road Tax	176158015	862.4748142	4177828	Anambra	2683681.973	568232.8083	7007809655	8171092757	4844	75.1
2122724.499	42321266.71	1	North East	Road Tax	35397950.03	101.5133189	4653066	Bauchi	1624123.445	498601.0531	1705935988	1748257254	45837	34.1
